SchoolYear,County,CountyFIPS,Cohort,GraduationRate,PovertyPercent_AllAges,PovertyEstimate_AllAges,MedianHouseholdIncome,ChildPovertyPercent_0_17,ChildPovertyEstimate_0_17
2024-25,Asotin,53003,Seven Year,0.827,12.3,2732,70914,18.0,765
2024-25,Benton,53005,Seven Year,0.8957798165137,10.6,22983,91289,12.4,6731
2024-25,Chelan,53007,Seven Year,0.8793103448275,10.2,8193,79974,11.6,2068
2024-25,Clallam,53009,Seven Year,0.7090909090909,10.6,8152,74311,14.1,1659
2024-25,Clark,53011,Seven Year,0.8758766922198,7.8,40870,99396,8.9,9980
2024-25,Columbia,53013,Seven Year,0.65,12.4,495,67904,18.8,132
2024-25,Cowlitz,53015,Seven Year,0.8380797396257,10.6,11939,78357,13.0,3175
2024-25,Douglas,53017,Seven Year,0.91,10.9,4977,76714,13.7,1439
2024-25,Ferry,53019,Seven Year,0.61,16.3,1216,59801,24.6,308
2024-25,Franklin,53021,Seven Year,0.8020334928229,14.0,13776,81405,17.4,5147
2024-25,Garfield,53023,Seven Year,,12.9,308,68604,16.7,84
2024-25,Grant,53025,Seven Year,0.8523447401774,16.8,17462,71710,22.4,6236
2024-25,Grays Harbor,53027,Seven Year,0.823,15.9,11984,62481,19.1,2801
2024-25,Island,53029,Seven Year,0.9176470588235,8.6,7321,88776,10.0,1426
2024-25,Jefferson,53031,Seven Year,0.866,10.5,3525,80245,15.7,562
2024-25,King,53033,Seven Year,0.894113996986,8.8,202422,121984,9.6,41729
2024-25,Kitsap,53035,Seven Year,0.8743801652892,7.8,21190,107964,9.3,4911
2024-25,Kittitas,53037,Seven Year,0.907,12.9,5905,78875,12.1,953
2024-25,Klickitat,53039,Seven Year,0.854,12.2,2930,73060,17.1,709
2024-25,Lewis,53041,Seven Year,0.8585526315789,10.6,9100,78178,13.4,2430
2024-25,Lincoln,53043,Seven Year,0.94,13.2,1548,62764,17.8,440
2024-25,Mason,53045,Seven Year,0.797619047619,12.2,8238,84112,18.1,2354
2024-25,Okanogan,53047,Seven Year,0.889,21.7,9650,59401,22.4,2072
2024-25,Pacific,53049,Seven Year,0.808,11.7,2816,67828,17.1,572
2024-25,Pend Oreille,53051,Seven Year,0.923,15.1,2141,67189,23.0,631
2024-25,Pierce,53053,Seven Year,0.8669793433789,9.4,86930,100125,11.6,23946
2024-25,San Juan,53055,Seven Year,0.832,10.6,1972,84476,11.5,255
2024-25,Skagit,53057,Seven Year,0.8645614035087,9.8,12934,89774,12.4,3273
2024-25,Skamania,53059,Seven Year,0.7,10.3,1296,89706,14.2,287
2024-25,Snohomish,53061,Seven Year,0.8710317460317,8.6,73562,109146,9.4,17211
2024-25,Spokane,53063,Seven Year,0.8877031686094,10.8,58677,85192,10.3,11818
2024-25,Stevens,53065,Seven Year,0.773,13.6,6638,69312,19.1,1873
2024-25,Thurston,53067,Seven Year,0.837100088054,8.5,25565,97316,9.0,5426
2024-25,Wahkiakum,53069,Seven Year,0.92,11.5,547,77412,17.0,124
2024-25,Walla Walla,53071,Seven Year,0.898921832884,13.0,7467,72788,14.6,1779
2024-25,Whatcom,53073,Seven Year,0.8470254957507,11.4,26190,85471,9.0,3660
2024-25,Whitman,53075,Seven Year,0.928,23.0,9930,59641,13.5,1002
2024-25,Yakima,53077,Seven Year,0.8264230498945,16.7,42514,72458,20.7,14795
2024-25,Adams,53001,Seven Year,0.864,14.4,2994,66089,20.0,1402
